timestamp,open,high,low,close,volume,symbol,ema50,ema200,rsi,macd_line,macd_signal,label
1753732800000.0,118070.0,118164.2,117739.0,117759.4,456.104,BTCUSDT,118166.43613939564,118013.04908665622,42.38565654507159,-119.17049295885954,-95.66861721156371,0
1753731900000.0,117682.0,118100.0,117536.7,118070.0,716.798,BTCUSDT,118162.65433000756,118013.61576241087,50.28305058828639,-99.22664784705556,-96.3802233386621,0
1753731000000.0,118090.8,118097.0,117682.0,117682.0,717.264,BTCUSDT,118143.80514059552,118010.3161030834,42.45433994715744,-113.4219071144762,-99.78856009382493,0
1753730100000.0,118146.4,118255.9,118080.8,118090.8,615.406,BTCUSDT,118141.72650763098,118011.1169378786,51.09396546763399,-90.64016543381148,-97.95888116182223,0
1753729200000.0,117779.8,118200.0,117764.7,118146.4,1399.499,BTCUSDT,118141.90978184152,118012.46303799924,52.14628252924621,-67.32295852806419,-91.83169663507064,1
1753728300000.0,117730.1,117860.0,117626.5,117779.8,375.491,BTCUSDT,118127.70939823992,118010.14798289476,45.23496601716614,-77.53172282096057,-88.97170187224863,0
1753727400000.0,117553.8,117777.1,117401.5,117730.1,1172.313,BTCUSDT,118112.11687281876,118007.36143580129,44.376275067721046,-88.61116239150579,-88.89959397610008,0
1753726500000.0,117778.2,117804.1,117460.6,117553.8,781.162,BTCUSDT,118090.22209349251,118002.84838668884,41.37580254062394,-110.34563883692316,-93.18880294826472,0
1753725600000.0,117666.0,117783.1,117477.1,117778.2,1299.381,BTCUSDT,118077.9859329634,118000.6130793586,46.34833092237331,-108.21571993986436,-96.19418634658464,0
1753724700000.0,117854.3,117854.3,117645.8,117666.0,601.314,BTCUSDT,118061.8296218668,117997.28359598192,44.3239443463457,-114.26417983601276,-99.80818504447028,0
1753723800000.0,118016.5,118116.1,117772.4,117854.3,571.295,BTCUSDT,118053.69120532302,117995.86087363384,48.39748769487334,-102.67976317531428,-100.38250067063908,0
1753722900000.0,117833.3,118021.5,117623.4,118016.5,1884.63,BTCUSDT,118052.23272668292,117996.06623807532,51.6772384486846,-79.49448216566816,-96.2048969696449,0
1753722000000.0,118004.0,118039.8,117830.1,117833.3,706.116,BTCUSDT,118043.6471295581,117994.44667351736,47.96882317354926,-75.03770095108484,-91.9714577659329,0
1753721100000.0,118317.7,118376.8,117990.0,118004.0,410.046,BTCUSDT,118042.09234016368,117994.54173149233,51.463824546804354,-57.07369628496235,-84.9919054697388,0
