timestamp,open,high,low,close,volume,symbol,ema50,ema200,rsi,macd_line,macd_signal
1753732800000.0,118070.0,118164.2,117739.0,117759.4,456.104,BTCUSDT,118166.43613939564,118013.04908665622,42.38565654507159,-119.17049295885954,-95.66861721156373
1753731900000.0,117682.0,118100.0,117536.7,118070.0,716.798,BTCUSDT,118162.65433000757,118013.61576241087,50.283050588286386,-99.22664784705557,-96.3802233386621
1753731000000.0,118090.8,118097.0,117682.0,117682.0,717.264,BTCUSDT,118143.80514059552,118010.3161030834,42.454339947157436,-113.4219071144762,-99.78856009382493
1753730100000.0,118146.4,118255.9,118080.8,118090.8,615.406,BTCUSDT,118141.72650763098,118011.1169378786,51.09396546763399,-90.64016543381149,-97.95888116182225
1753729200000.0,117779.8,118200.0,117764.7,118146.4,1399.499,BTCUSDT,118141.90978184153,118012.46303799923,52.14628252924621,-67.32295852806419,-91.83169663507064
1753728300000.0,117730.1,117860.0,117626.5,117779.8,375.491,BTCUSDT,118127.70939823991,118010.14798289476,45.23496601716614,-77.53172282096057,-88.97170187224863
1753727400000.0,117553.8,117777.1,117401.5,117730.1,1172.313,BTCUSDT,118112.11687281875,118007.36143580129,44.376275067721046,-88.61116239150579,-88.89959397610008
1753726500000.0,117778.2,117804.1,117460.6,117553.8,781.162,BTCUSDT,118090.22209349253,118002.84838668884,41.37580254062394,-110.34563883692317,-93.18880294826471
1753725600000.0,117666.0,117783.1,117477.1,117778.2,1299.381,BTCUSDT,118077.9859329634,118000.6130793586,46.34833092237331,-108.21571993986436,-96.19418634658464
1753724700000.0,117854.3,117854.3,117645.8,117666.0,601.314,BTCUSDT,118061.82962186681,117997.28359598192,44.3239443463457,-114.26417983601277,-99.80818504447028
1753723800000.0,118016.5,118116.1,117772.4,117854.3,571.295,BTCUSDT,118053.69120532302,117995.86087363385,48.39748769487334,-102.67976317531429,-100.38250067063909
1753722900000.0,117833.3,118021.5,117623.4,118016.5,1884.63,BTCUSDT,118052.23272668291,117996.06623807532,51.6772384486846,-79.49448216566816,-96.2048969696449
1753722000000.0,118004.0,118039.8,117830.1,117833.3,706.116,BTCUSDT,118043.6471295581,117994.44667351736,47.96882317354926,-75.03770095108484,-91.9714577659329
1753721100000.0,118317.7,118376.8,117990.0,118004.0,410.046,BTCUSDT,118042.09234016367,117994.54173149233,51.463824546804354,-57.07369628496235,-84.9919054697388
1753720200000.0,118283.5,118360.0,118155.4,118317.7,266.209,BTCUSDT,118052.90048368667,117997.75723665161,57.15902169691542,-17.324419737022254,-71.45840832319548
1753719300000.0,118054.9,118307.7,118006.2,118283.5,302.947,BTCUSDT,118061.94360197347,118000.60044822721,56.382270303915334,11.287400005516247,-54.909246657453146
1753718400000.0,118160.0,118163.2,117987.0,118054.9,509.658,BTCUSDT,118061.66738228824,118001.14074227471,51.35834601365432,15.339539119973779,-40.85948950196776
1753717500000.0,118229.7,118375.3,118105.1,118160.0,551.045,BTCUSDT,118065.52356337498,118002.72143140632,53.413624258366774,26.723528008849826,-27.34288599980424
1753716600000.0,118409.4,118513.7,118156.1,118229.7,796.293,BTCUSDT,118071.96185500734,118004.97992462615,54.778283069912156,40.89817995301564,-13.694672809240261
1753715700000.0,118175.1,118409.9,118108.1,118409.4,1162.778,BTCUSDT,118085.19472343843,118009.00400497814,58.179645069106144,65.87264310070896,2.2187903727495826
1753714800000.0,117980.0,118188.1,117888.0,118175.1,607.661,BTCUSDT,118088.72042055849,118010.65670144603,52.6221013273004,65.99824650016672,14.974681598233008
1753713900000.0,118247.9,118270.5,117925.0,117980.0,705.449,BTCUSDT,118084.45687465424,118010.35165964061,48.470118330967274,49.78100418920803,21.935946116428013
1753713000000.0,118071.8,118250.0,117874.0,118247.9,1725.868,BTCUSDT,118090.86640898153,118012.71532471881,53.854289348252564,57.878822843689704,29.124521461880352
1753712100000.0,118469.3,118522.2,118000.0,118071.8,3333.858,BTCUSDT,118090.11870666852,118013.30323193556,50.14525487750099,49.51581668588915,33.20278050668212
1753711200000.0,118429.5,118691.8,118297.3,118469.3,916.536,BTCUSDT,118104.98856130899,118017.84051320983,57.29487585639253,74.10872278234456,41.38396896181461
1753710300000.0,118654.3,118788.0,118227.1,118429.5,1764.575,BTCUSDT,118117.71450008119,118021.93662750625,56.4223895559393,89.35719652991975,50.978614475435634
1753709400000.0,118601.1,119084.7,118300.0,118654.3,2734.143,BTCUSDT,118138.75706870545,118028.22880036688,60.116687928809434,118.21845434891293,64.4265824501311
1753708500000.0,118667.2,118752.8,118383.3,118601.1,1037.227,BTCUSDT,118156.88816405034,118033.92901130852,58.84529351595103,135.23945743389777,78.58915744688443
1753707600000.0,118836.6,118861.6,118666.7,118667.2,431.064,BTCUSDT,118176.90039291112,118040.2302151761,59.97785078144845,152.30674523627385,93.33267500476231
1753706700000.0,118965.4,119000.0,118793.0,118836.6,333.768,BTCUSDT,118202.77096573813,118048.15429263703,62.80302306620142,177.45625282803667,110.15739056941717
1753705800000.0,118904.1,118989.2,118835.1,118965.4,214.096,BTCUSDT,118232.67798668958,118057.28111559586,64.8355464182863,205.41263338763383,129.20843913306052
